-9439.1	14.	1	9788324028788			Ostatnie dni dyktatorow			http://www.ceneo.pl/27979049
-8383.8	18.	2	9788361319658			Fatale Tom 4			http://www.ceneo.pl/43877805
-8244.9	16.	1	9788388481567			Carskie sieroty			http://www.ceneo.pl/1265857
-8209.5	34.	4	9788324039180			Matylda			http://www.ceneo.pl/41119101
-7901.4	46.	3	9788385239574			Ksiazka Operacja twierdza alpejska			http://www.ceneo.pl/8175710
-7782.2	9.2	5	9788379641635			Pomnik cesarzowej Achai Tom 5			http://www.ceneo.pl/44414675
-6349.4	13.	1	9788324152414			Zamachowiec			http://www.ceneo.pl/32432773
-5970.9	6.4	1	9788320544039			Ksiazka z teki Grottgera			http://www.ceneo.pl/8966749
-5925.6	21.	6	9788379995486			Ksiazka Pacjent			http://www.ceneo.pl/41119089
-5876.3	41.	1	9788378593560		miekka>	Ksiazka Ksiega wszechrzeczy	V. G. Soque	14/11/2	http://www.ceneo.pl/34751720
-5848.7	-27	1	9788378185413			Solomon Kane. Okrutne przygody			http://www.ceneo.pl/31895572
-5813.1	41.	3	9788378595922			Nieprzypadkowa ofiara			http://www.ceneo.pl/43290388
-5802.6	41.	3	9788378595236			Ksiazka Skok w przepasc			http://www.ceneo.pl/38600134
-5733.4	26.	2	9788387122294			Ksiazka Godzina barrakudy			http://www.ceneo.pl/8966718
-5725.5	42.	3	9788378592044			Ksiazka Szachownica smierci			http://www.ceneo.pl/31369409
-5725.5	42.	3	9788378593027			Ksiazka Nie moje niebo			http://www.ceneo.pl/31369452
-5704.5	42.	3	9788378593744		miekka>	Ksiazka Czarna roza	Marta A. Winiarska	14/11/2	http://www.ceneo.pl/34751711
-5701.7	42.	3	9788378590484			Ksiazka Trudno jest byc dobrym			http://www.ceneo.pl/31369413
-5701.7	42.	3	9788378592877			Ksiazka Teraz rozumiem swoja matke			http://www.ceneo.pl/31369456
-5701.7	42.	3	9788378592921			Ksiazka Oszukana			http://www.ceneo.pl/31369457
-5701.7	42.	3	9788378593249			Ksiazka W mroku miasta. Tajemnice.			http://www.ceneo.pl/31369419
-5701.8	42.	3	9788364033452			Ksiazka Najjasniejsza z gwiazd			http://www.ceneo.pl/26882483
-5700.2	42.	3	9788364033339			Ksiazka Zycie rozgrzane do czerwonosci			http://www.ceneo.pl/26881927
-5681.4	42.	3	9788393687329			Ksiazka Lawka			http://www.ceneo.pl/38600131
-5632.3	9.5	1	9788320544367			Ksiazka Jaskolczym szlakiem			http://www.ceneo.pl/2717238
-5598.5	22.	2	9788392503132			Ksiazka Anastazja tom I			http://www.ceneo.pl/46979586
-5513.7	44.	3	9788362352173			TOYSTORIES. Zbior opowiadan			http://www.ceneo.pl/31369435
-5445.0	45.	3	9788378593508			No to pieknie			http://www.ceneo.pl/32165903
-5444.2	45.	3	9788378593232			Uczen czarownicy			http://www.ceneo.pl/31369443
-5320.3	33.	2	9780141039565			Ksiazka Shaggy Dogs and Black Sheep			http://www.ceneo.pl/4548601
-5313.1	33.	2	9788374806091			Ksiazka Dom z lisci			http://www.ceneo.pl/47255746
-5303.0	33.	2	9780393064506			Ksiazka New Annotated Dracula			http://www.ceneo.pl/2893812
-5158.8	0.5	1	9788380620063			Rytual			http://www.ceneo.pl/44883929
-4947.9	36.	2	9780307887436			Ready Player One			http://www.ceneo.pl/19016251
-4937.1	34.	2	9788379423439			Adam Mosser i Lowca Siodmego Mroku			http://www.ceneo.pl/32620226
-4864.0	40.	3	9788324026036			Ksiazka Papugi z placu dArezzo			http://www.ceneo.pl/32174481
-4848.9	37.	2	9788360660935			Ksiazka Ballada Rycerska			http://www.ceneo.pl/22818313
-4844.0	20.	1	9788379859108			Ksiazka Swiatlo miedzy oceanami			http://www.ceneo.pl/47354669
-4751.0	-13	1	9788364846373			Pakiet kryminalny Horst: Jaskiniowiec / Psy goncze			http://www.ceneo.pl/40854624
-4719.0	19.	1	9788387122287			Ksiazka Dellago			http://www.ceneo.pl/8966717
-4686.0	39.	2	9788378593010			Gdzie diabel nie moze. Czesc 2			http://www.ceneo.pl/31369454
-4635.0	39.	2	9780751545388			Ksiazka Possessed			http://www.ceneo.pl/27518814
-4614.6	-17	1	9788327426109		twarda>	Piekno konia	Nicola Jane Swinney	14/11/2	http://www.ceneo.pl/35317690
-4581.3	10.	1	9788360740927			Mushishi 2			http://www.ceneo.pl/38896944
-4566.0	38.	2	9780340993422			Ksiazka Charm bracelet			http://www.ceneo.pl/27521210
-4550.5	38.	2	9780751536324			Ksiazka Protector			http://www.ceneo.pl/1076195
-4525.1	39.	2	9781780331898			Ksiazka Pulse			http://www.ceneo.pl/27518667
-4525.1	39.	2	9781780337821			Ksiazka Dark Glamour			http://www.ceneo.pl/27521166
-4474.2	1.3	6	9788378859789		alt="dz	Bez ostrzezenia			http://www.ceneo.pl/30511730
-4450.7	18.	1	9780755332458			Ksiazka Four Courts Murder			http://www.ceneo.pl/528485
-4434.3	40.	2	9780340825068			Ksiazka The Book of Fate			http://www.ceneo.pl/735256
-4386.4	40.	2	9781841493930			Ksiazka Glasshouse			http://www.ceneo.pl/528569
-4363.2	43.	2	9788378397526			Cuda Jana Pawla II			http://www.ceneo.pl/28714557
-4163.3	22.	2	9780486497334			The Early Science Fiction of Philip K. Dick			http://www.ceneo.pl/29101034
-4148.3	17.	1	9788324150984			Detektywi.			http://www.ceneo.pl/30637519
-4114.9	42.	4	9780141191270			Ksiazka Some Thoughts on the Common Toad			http://www.ceneo.pl/13345808
-4021.5	15.	2	9780340837559			Paul of dune			http://www.ceneo.pl/2347700
-3805.5	-14	1	9788380312548			Ksiazka Okruchy zla			http://www.ceneo.pl/44273998
-3620.3	49.	4	9788372781864			Opowiesci z Narnii T 1			http://www.ceneo.pl/688235
-3613.6	-5.	1	9780198149682			Ksiazka Aeschylus			http://www.ceneo.pl/2893120
-3505.4	-13	2	9788376481241			CMETARz zWIEZAT			http://www.ceneo.pl/28159307
-3352.3	17.	1	9788370526498			Ksiazka Galaktyki, biblioteki, popioly			http://www.ceneo.pl/26200352
-3300.4	21.	1	9788324520497			Ksiazka 365 obiadow na polskim stole +moj zeszyt p			http://www.ceneo.pl/27500807
-3299.1	43.	3	9780521676915			Ksiazka Cambridge Introduction to Edgar Allan Poe			http://www.ceneo.pl/4581636
-3253.1	-0.	1	9780199541676			Ksiazka Victorian Women Writers and the Classics			http://www.ceneo.pl/2185286
-3116.1	46.	3	9788394330200			Swiat utracony. Zydzi polscy. Fotografie z lat 191			http://www.ceneo.pl/47876064
-2970.9	25.	1	9780552563154			Dodger Terry Pratchett			http://www.ceneo.pl/27521146
-2882.1	27.	1	9788376700953			Ksiazka Gra Lwa			http://www.ceneo.pl/40189195
-2862.7	-25	5	9788361232308			Ksiazka Testament Odessy			http://www.ceneo.pl/41646896
-2696.2	32.	1	9788881485512			Ksiazka Blancanieves /CD /			http://www.ceneo.pl/9777484
-2664.2	33.	1	9780618318810			Anthology of Colonial  Postcolonial Short Fiction			http://www.ceneo.pl/980111
-2663.3	33.	1	9780133801552			Criminology Theory  Context			http://www.ceneo.pl/7729969
-2662.1	33.	1	9780198150398			Ksiazka Ausonius Opera			http://www.ceneo.pl/7728845
-2662.8	33.	1	9780582473010			Criminal Law			http://www.ceneo.pl/7729965
-2662.8	33.	1	9780582473478		alt="dz	Criminal Law			http://www.ceneo.pl/7654713
-2662.8	33.	1	9781405840866			Ksiazka Truth Will Out Unmasking the Real Shakespe			http://www.ceneo.pl/982639
-2661.7	33.	1	9780553213102			Ksiazka Pride  Prejudice			http://www.ceneo.pl/7623616
-2660.9	33.	1	9780415420044			Ksiazka Geotechnical engineering			http://www.ceneo.pl/4909964
-2659.0	33.	1	9780821416877			Ksiazka JM Coetzee  the Idea of the Public Intell			http://www.ceneo.pl/731423
-2659.6	33.	1	9781405101271			Ksiazka American Literature  Culture 1900			http://www.ceneo.pl/617549
-2659.7	33.	1	9780415393508			Ksiazka Dictionary of Oriental Literatures 3 vols			http://www.ceneo.pl/620888
-2657.6	33.	1	9788881482931			Ksiazka El soldadito de plomo /CD /			http://www.ceneo.pl/9777663
-2657.6	33.	1	9788881487134			Ksiazka Ricitos de oro /CD /			http://www.ceneo.pl/9778419
-2655.3	33.	1	9781472209719			Ksiazka It Happens in the Dark			http://www.ceneo.pl/39110866
-2654.8	33.	1	9788881483631			Ksiazka La Sirenita /CD /			http://www.ceneo.pl/7372533
-2654.8	33.	1	9788881487172			Ksiazka Pulgarcita /CD /			http://www.ceneo.pl/7372530
-2654.8	33.	1	9788881487189			Ksiazka El zorro y la ciguena /CD /			http://www.ceneo.pl/7372531
-2653.6	33.	1	9788323817673			Ksiazka Nawiedzony Dom Br			http://www.ceneo.pl/38062474
-2653.7	33.	1	9788371648632			Ksiazka Tlumacz i zdrada Przeklad			http://www.ceneo.pl/40859728
-2653.8	33.	1	9788323817581			Ksiazka Raj na ziemi			http://www.ceneo.pl/38616005
-2652.8	33.	1	9788881485390			Ksiazka La Belle au bois dormant /CD gartis/			http://www.ceneo.pl/4548119
-2650.4	33.	1	9780582438149			Criminal Law			http://www.ceneo.pl/7729966
-2648.1	33.	1	9781424010882			Ksiazka Cupid the Dolphin inter.B1			http://www.ceneo.pl/2715639
-2644.0	33.	1	9783785569887			Ksiazka Anne auf Green Gables			http://www.ceneo.pl/13266638
-2643.0	33.	1	9780321475831			Introduction to Fiction 10e			http://www.ceneo.pl/982351
-2640.2	33.	1	9780415285407			Ksiazka Theorists of Modernist Poetry			http://www.ceneo.pl/1066783
-2640.4	33.	1	9780415350112			Ksiazka Angela Carters Nights at the Circus			http://www.ceneo.pl/1088345
-2637.2	33.	1	9788373590915			Ksiazka Hongkong			http://www.ceneo.pl/1255833
-2632.8	33.	1	9781424010493			Ksiazka Dreamtime Painters pre			http://www.ceneo.pl/2716492
-2484.7	36.	1	9781616143756			The Falling Machine			http://www.ceneo.pl/19239130
-2443.3	33.	1	9785699553549			Ksiazka Nortengerskoje abbatstwo			http://www.ceneo.pl/21081133
-2427.2	44.	2	9781405130523			Ksiazka Dante			http://www.ceneo.pl/656534
-2355.1	-30	1	9788328116528			Wieczna wojna			http://www.ceneo.pl/44054692
-2174.1	12.	1	9788373067028		twarda/	Ksiazka Tragedie Tom 1 /oprawa twarda/			http://www.ceneo.pl/47203579
-2012.1	40.	1	9785389052642			Ksiazka Anna Karenina			http://www.ceneo.pl/27524402
-1996.9	5.3	3	9788378353010			Bestia			http://www.ceneo.pl/28743358
-1976.2	28.	1	9781904633327			Alice s Adventures in Wonderland			http://www.ceneo.pl/2165144
-1960.4	21.	1	9788373915923			Ksiazka Zolnierka			http://www.ceneo.pl/1264261
-1951.8	30.	1	9780593069493			Ksiazka Red Notice			http://www.ceneo.pl/27518637
-1920.8	32.	2	9788373636231			Ksiazka Schulzowskie marginalia			http://www.ceneo.pl/1201498
-1885.4	33.	1	9780099441489		broszurowa</em></p>	Ksiazka Monday Mourning			http://www.ceneo.pl/5819619
-1882.0	30.	1	9781408276501			Ksiazka Pen. Rainmaker Bk/MP3 CD 5 RL			http://www.ceneo.pl/15044607
-1867.6	-5.	1	9788391272855			Ksiazka Inkowie I Nie			http://www.ceneo.pl/1502262
-1864.7	19.	2	9788392766643			Ksiazka Ulica Piotrkowska spacer pierwszy/spacer d			http://www.ceneo.pl/7391557
-1781.0	-6.	1	9788389291677			Ksiazka Likwidacja			http://www.ceneo.pl/8175672
-1772.0	33.	1	9780448444826			Ksiazka Who Was Anne Frank?			http://www.ceneo.pl/561452
-1772.3	44.	2	9780515142808			Ksiazka Second Sight			http://www.ceneo.pl/709972
-1771.9	33.	1	9780515142501			Ksiazka All night long			http://www.ceneo.pl/527232
-1726.3	33.	1	9781862079120			Ksiazka How to Read Joyce			http://www.ceneo.pl/528771
-1711.6	-12	1	9788324025794			Ksiazka W zlym towarzystwie			http://www.ceneo.pl/31136367
-1673.1	5.2	1	9788308035788			Ksiazka Bestiarium			http://www.ceneo.pl/27130928
-1672.3	22.	4	9788375540840			Zamek z piasku, ktory runal			http://www.ceneo.pl/47456378
